Words,Definitions,Examples
interpolate,"insert words into texts, often falsifying it thereby","Most scholars agree that these lines are interpolated, since they do not fit in with the rest of the poem."
intimate,"marked by close acquaintance, association, or familiarity","The female spider can choose when to cut off intimate relations by eating her partner, or kicking him out."
intrepid,invulnerable to fear or intimidation,"There are some very courageous and intrepid reporters in Afghanistan, including some who work for American media outlets."
intrigue,cause to be interested or curious,Designing and building models that intrigue and educate without overwhelming has been challenging.
inured,made tough by habitual exposure,"But he had become inured to the rush and whirr of missiles, and now paid no heed whatever to them."
invective,abusive language used to express blame or censure,"There's much more name-calling, shouting and personal invective in American life than anywhere I've ever traveled outside the United States."
invidious,containing or implying a slight or showing prejudice,"""After an old-fashioned, all-round team performance … it might seem invidious to single out one player,"" admits the paper before singling out one player."
invocation,the act of appealing for help,"These dances are prayers or invocations for rain, the crowning blessing in this dry land."
irksome,tedious or irritating,"It was pretty irksome passing the time in his enforced prison, and finally Andy went to sleep."
irresolute,uncertain how to act or proceed,"I stood for a moment before I entered on my arduous undertaking, irresolute and hesitating, swayed by two conflicting impulses."
issue,some situation or event that is thought about,"As a result, the privacy issues surrounding mobile computing are becoming ever-more complex."
jet,an airplane powered by gas turbines,"Typhoon fighter jets, helicopters, two warships and bomb disposal experts will also be on duty to guard against security threats."
jibe,"be compatible, similar, or consistent",Contemporary art has never quite jibed with mainstream media.
jocund,full of or showing high-spirited merriment,"Her jocund laugh and merry voice, indeed, first attracted my attention."
junket,a trip taken by an official at public expense,"Mr. Abramoff arranged for junkets, including foreign golfing destinations, for the members of Congress he was trying to influence."
justify,show to be reasonable or provide adequate ground for,"He felt sure that if the circumstances justified it, the necessary proceedings could be taken.”"
keen,demonstrating ability to recognize or draw fine distinctions,Not one of his movements escaped her keen observation; she drank in every shiver.
kindle,catch fire,Then a match was kindled and fire applied.
knack,a special way of doing something,"He had a special knack of hunting out farm houses, engaging madame in conversation, and coming away with bread, eggs, or cheese in his knapsack."
knight,a person of noble birth trained to arms and chivalry,"The knight was gallant not only in war, but in love also."
knoll,a small natural mound,"Opened in 2008, the park serves as a true public space; elderly couples stroll around the artificial lake as toddlers roll down grassy knolls."
labor,any piece of work that is undertaken or attempted,"More labor is entailed, more time is required, greater delay is occasioned in cleaning up, and the amount of water used is much greater."
laggard,someone who takes more time than necessary,Corporate data centers are the slowpoke laggards of information technology.
lancet,a surgical knife with a pointed double-edged blade,"His left arm was held by the second physician, while the chief surgeon bent over it, lancet in hand."
languid,lacking spirit or liveliness,"Many viewers, bored by the languid pace of the show, tuned out early."
larder,a small storeroom for storing foods or wines,"Mr. Goncalves’s larder holds staples like beefsteak, salt cod, sardines, olives, artichokes, hot and sweet peppers and plenty of garlic."
largesse,liberality in bestowing gifts,"After being saved by government largesse, they say, big banks then moved to thwart reforms aimed at preventing future meltdowns caused by excessive risk-taking."
latitude,freedom from normal restraints in conduct,Great employees often get more latitude to bring up controversial subjects in a group setting because their performance allows greater freedom.
league,an association of sports teams that organizes matches,"""When I broke into the big leagues until a month ago, Gary kept in touch,"" Mets third baseman David Wright said."
level,a relative position or degree of value in a graded group,Only last month did the men’s and women’s unemployment rates reach the same level.
levity,a manner lacking seriousness,"The same balance of seriousness and levity runs through her plays, which put an absurdist spin on everyday problems."
liberal,having political views favoring reform and progress,Romney’s actually done well in open primaries where fiscally conservative yet socially liberal independents have backed him over his opponents.
libertine,a dissolute person,"Still, Mr. Awlaki was neither among the most conservative Muslim students nor among the libertines who tossed aside religious restrictions on drinking and sex."
libretto,the words of an opera or musical play,"In many great operas, composers have had to whittle down an epic literary work into a suitable libretto."
lineament,the characteristic parts of a person's face,"The tears stood in Muriel's eyes, and her face was very pale, but serenity marked every lineament."
livelihood,the financial means whereby one supports oneself,"With businesses shut, fields untended and fishing abandoned many have lost their livelihoods as well as their homes, our correspondent says."
loath,strongly opposed,"Friends and political allies are loath to talk about her, knowing the family’s intense obsession with privacy."
lode,a deposit of valuable ore,Such local perturbations are regularly used in Sweden for tracing out the position of underground lodes of iron ore.
lofty,of imposing height; especially standing out above others,He found himself in an enormous hall with a lofty ceiling.
loquacious,full of trivial conversation,"Pan soon found it needful to make conversation, in order to keep the loquacious old stage driver from talking too much."
lout,"an awkward, foolish person",But this question was beyond the poor lout's intelligence; he could only blubber and fend off possible chastisement.
luminary,a celebrity who is an inspiration to others,"Founded in 1947, the group's members have included such luminaries as Walt Disney, Spencer Tracy and another American president, Ronald Reagan."
luxuriant,produced or growing in extreme abundance,"Her luxuriant curly hair, restrained by no net, but held together simply by a flowering spray, waved over her shoulders in all its rich abundance."
machination,a crafty and involved plot to achieve your ends,He was continued a member of Congress until 1777 when his enemies succeeded in their long nursed machinations against him.
madrigal,an unaccompanied partsong for several voices,"Nevertheless we learn from Malvezzi's publication that the pieces were all written in the madrigal style, frequently in numerous voice parts."
magisterial,offensively self-assured or exercising unwarranted power,"“Now look here,” he said, making believe to take down my words and shaking his pencil at me in a magisterial way."
majority,more than half of the votes in an election,Republicans need just four seats in the Senate to take control as the majority party.
makeshift,done or made using whatever is available,"The house was still under construction, so he climbed up a ladder being used as a makeshift stairway, fell and injured his leg."
malaise,a feeling of mild sickness or depression,"Initially, many doctors discounted sufferers’ feelings of generalized malaise as nothing more than stress or normal fatigue."
malcontent,a person who is unsatisfied or disgusted,"Now, unfortunately, some malcontents among the hands here have spread their ideas, and a strike has been called."
malevolent,having or exerting a malignant influence,"So you don’t believe in evil, as an actual malevolent force?"
malice,the desire to see others suffer,"He viewed the moths with malice, their fluttering wings fanning his resentment."
malleable,easily influenced,“The Americans are seen as na?ve malleable tools in the hands of the Brits.”
manifest,reveal its presence or make an appearance,"A too rapid transformation of existing conditions might very easily lead to an economic crisis, symptoms of which are already beginning to manifest themselves."
manifestation,a clear appearance,Singing and dancing are manifestations of what many Syrians describe as a much broader cultural flowering.
mannered,having unnatural behavioral attributes,Nothing was mannered or pretentious; the texts came through with utter naturalness.
manumit,free from slavery or servitude,"Moreover, manumitted slaves enjoyed the same rights, privileges and immunities that were enjoyed by those born free."
maraud,raid and rove in search of plunder,Its reporter says armed gangs and looters are marauding the streets.
masticate,bite and grind with the teeth,"Food should be masticated quietly, and with the lips closed."
maul,injure badly,Hundreds of concert goers were mauled as they left by what The New York Times called “bands of roving youths.”
maxim,a saying that is widely accepted on its own merits,"The maxim ""All is fair in love and war"" was applied literally."
meander,move or cause to move in a winding or curving course,They paused beside one of the low stone walls that meandered in a meaningless fashion this way and that over the uplands.
mendicant,a pauper who lives by begging,In others are the broken-down mendicants who live on soup-kitchens and begging.
mercurial,liable to sudden unpredictable change,"Wind energy is notoriously mercurial, with patterns shifting drastically over the course of years, days, even minutes."
merit,any admirable or beneficial attribute,Thus far in our inquiry extraordinary merits have been offset by extraordinary defects.
mettle,the courage to carry on,The deployment will also test the emotional mettle of soldiers and their families.
microcosm,a miniature model of something,"The building, he said, is ""a microcosm of what Shanghai was all about."""
mien,"a person's appearance, manner, or demeanor","Nevertheless, before going to meet Samuel, she assumed a calm and dignified mien."
mincing,affectedly dainty or refined,"She went, carrying her little head very high indeed, and taking dainty, mincing steps."
minute,infinitely or immeasurably small,The minute stain on the document was not visible to the naked eye.
misanthrope,someone who dislikes people in general,"And shaking his head like a misanthrope, disgusted, if not with life, at least with men, Patout led the horse to the stable."
miserly,characterized by or indicative of lack of generosity,"Now, my uncle seemed so miserly that I was struck dumb by this sudden generosity, and could find no words in which to thank him."
mite,a slight but appreciable amount,"I never saw anybody so pleased with monkeys as she is, and not one mite afraid."
mode,how something is done or how it happens,"Speaking of science, he says, in language far in advance of his times: ‘There are two modes of knowing—by argument and by experiment."
modest,not large but sufficient in size or amount,A healthy person living in an unfashionable city with no student loans to pay off can get by on a fairly modest income.
modicum,a small or moderate or token amount,"He volunteered a modicum of advice, limited in quantity, but valuable."
monetary,relating to or involving money,"A hundred years ago, monetary policy – control over interest rates and the availability of credit – was viewed as a highly contentious political issue."
moot,"of no legal significance, as having been previously decided","The statement from Hermitage said even in the Soviet period no defendant had been tried after death, when charges were generally considered moot."
morbid,suggesting the horror of death and decay,"Earlier in the day, however, his demise was watched by spectators with a morbid fascination."
mordant,harshly ironic or sinister,"Even Morgan himself, intrepid as he was, shrank from the awful menace of the mordant words."
moribund,not growing or changing; without force or vitality,"The entertainment sector there is booming, while Pakistan's is moribund."
mortify,cause to feel shame,"Intensely mortified at this humiliation, the king fell sick, and henceforth his health failed rapidly."
mote,a tiny piece of anything,"He took his discharge out of his pocket, brushed every mote of dust from the table, and spread the document before their eyes."
mountebank,a flamboyant deceiver,"They are singularly clever, these Indian mountebanks, especially in sleight of hand tricks."
multitude,a large indefinite number,"Department store chains in general have been strained in recent years as a ""multitude"" of alternatives has emerged, all competing for customers."
mundane,found in the ordinary course of events,"Now, it would seem, that the Chinese are getting back to their everyday concerns, paying attention to events more mundane and less cataclysmic."
munificent,very generous,"They have shown themselves very loving and generous lately, in making a quite munificent provision for his traveling."
muse,reflect deeply on a subject,Musing about the Big Picture may be a lot more gratifying than focusing on the details of the specific policies that aren’t working.
muster,"summon up, call forth, or bring together",Yet Fox needed all the strength that he could muster.
natty,marked by up-to-dateness in dress and manners,"He wore a checked suit, very natty, and was more than usually tall and fine-looking."
nettle,"disturb, especially by minor irritations",Lincoln began these remarks by good-humored but nettling chaffing of his opponent.
nexus,a connected series or group,Numerous innovators are also worrying away at this nexus of problems.
nicety,conformity with some standard of correctness or propriety,They accepted the invitation; but Mrs. Rowlandson did not appreciate the niceties of Indian etiquette.
nihilist,someone who rejects all theories of morality,"“He’s a loner nihilist who believes in nothing,” Mr. Lu said."
nominal,insignificantly small; a matter of form only,He sought nominal damages of one dollar from each defendant.
nonentity,a person of no influence,Was he such a nonentity in every way that she could remain unconcerned as to any fear of danger from him?
nonplus,be a mystery or bewildering to,"I shook my head and rushed from his presence, completely nonplussed, bewildered, frantic."
nostrum,patent medicine whose efficacy is questionable,"Just here a native ""medicine man"" dispenses nostrums of doubtful efficacy, and in front a quantity of red Moorish pottery is exposed for sale."
notion,a general inclusive concept,Does that old notion that defense wins championships still hold up these days?
notwithstanding,despite anything to the contrary,"He seems to have taken things easily enough, notwithstanding the sorrow and suffering that surrounded him on every side."
novel,an extended fictional work in prose,Before Robert Barr publishes a novel he spends years in thinking the thing out.
nuance,a subtle difference in meaning or opinion or attitude,"By working so hard to simplify things, we lose any nuance or ability to deal with folks’ individual circumstances."
obdurate,stubbornly persistent in wrongdoing,"Several appeared deeply affected, with tears of repentance standing in their eyes, others sullen and obdurate."
objective,the goal intended to be attained,The objective was to mobilize students from 18 high schools across the city to provide community services and inspire others.
obloquy,"abusive, malicious, and condemnatory language","This is the real history of a transaction which, by frequent misrepresentation, has brought undeserved obloquy upon a generous man."
obtain,come into possession of,"He delayed making the unclassified report public while awaiting an Army review, but Rolling Stone magazine obtained the report and posted it Friday night."
obtrude,thrust oneself in as if by force,She had no right to obtrude herself into his life and to disturb it.
obtuse,lacking in insight or discernment,The affair had been mentioned so plainly that it was impossible for the most dense and obtuse person not to have understood the allusion.
obviate,do away with,"Comfortable sleeping-cars obviate the necessity of stopping by the way for bodily rest, provided the traveller be physically strong and in good health."
odium,state of disgrace resulting from detestable behavior,"This was one of the men who bring odium on the whole class of prisoners, and prejudice society against them."
ominous,threatening or foreshadowing evil or tragic developments,"The Count's words were so ominous, so full of sinister meaning that for the moment he felt like crying out with fear."
omniscient,"knowing, seeing, or understanding everything","Robbe-Grillet responds that his work is in fact far less objective than the godlike, omniscient narrator who presides over so many traditional novels."
onset,the beginning or early stages,Thousands of families are living in makeshift camps as temperatures fall to freezing with the onset of winter.
oppress,come down on or keep down by unjust use of one's authority,Those who managed to survive were later oppressed by Poland's post-war communist authorities.
oratorio,a musical composition for voices and orchestra,"Mendelssohn had no sooner completed his first oratorio, ""St. Paul,"" than he began to think about setting another Bible story to music."
ordain,invest with ministerial or priestly authority,"One of the present bishops was consecrated when quite a young boy, and deacons are often ordained at sixteen, and even much earlier."
ornate,marked by complexity and richness of detail,"Unlike his literary icon, Herman Melville, he doesn’t adorn his writing with ornate flourishes or complicated scaffolding."
ostensible,appearing as such but not necessarily so,"This already-exhaustive book is studded with diary entries, academic papers and other ostensible evidence that its fictitious stories of destruction are true."
outskirts,"area relatively far from the center, as of a city or town",Ms. Waters talked about how she had spent the day at an organic farm on the outskirts of Beijing looking at vegetables for the dinner.
overbearing,having or showing arrogant superiority,"""True; but——"" ""Just so,"" interrupted Mr. Fauntleroy, in his decisive and rather overbearing manner."
overweening,"unrestrained, especially with regard to feelings","He had overweening ambitions even then, along with a highly developed sense of his own importance."
pacifist,opposed to war,"He was, furthermore, a real pacifist, believing that war is debasing morally and disastrous economically."
pacify,"ease the anger, agitation, or strong emotion of","How they pacified him I don’t know, but at the end of two hours he had cooled off enough to let us go aboard."
palatable,acceptable to the taste or mind,"If nicely cooked in this way, cabbage is as palatable and as digestible as cauliflower."
palatial,suitable for or like a large and stately residence,"The house was very large; its rooms almost palatial in size, had been finished in richly carved hardwood panels and wainscoting, mostly polished mahogany."
pall,a sudden feeling of dread or gloominess,"Residents who fled in recent days spoke of the smell of death and piles of garbage drifting like snowbanks, casting a pall over the city."
palliate,lessen or to try to lessen the seriousness or extent of,"Divisions and inequalities persist, but government can palliate their effects with hard cash."
pallid,lacking in vitality or interest or effectiveness,But too often the music sounded thin and pallid.
palpitate,beat rapidly,"After supper my heart started racing, palpitating like a tick."
parable,a short moral story,"In most instances, I have closed my visits by reading some interesting story or parable."
paraphernalia,equipment consisting of miscellaneous articles,It's outfitted with cricket bats and other antique sports paraphernalia.
parity,functional equality,"How many of the world’s problems would be solved, or at least greatly reduced, if women had true parity with men?"
parochial,narrowly restricted in outlook or scope,But Republicans in Pennsylvania also have narrower and more parochial things to worry about.
parry,"avoid or try to avoid fulfilling, answering, or performing","The boys asked a few guarded questions, but gained no information whatever, their questions being parried in every instance."
parsimonious,excessively unwilling to spend,Pill-splitting is catching on among parsimonious prescription-takers who want to lower costs.
partial,being or affecting only a segment,Generalizations of this sweeping order are apt to contain only partial truth.
partiality,a predisposition to like something,"She still showed a partiality for bright colors, by her gown of deep crimson."
partisan,devoted to a cause or political group,"But given the bitter partisan divide in an election year, Democrats said they would never be able to get such legislation passed."
passage,"a section of text, particularly a section of medium length",His interpretation of many obscure scriptural passages by means of native manners and customs and traditions is particularly helpful and informing.
passe,out of fashion,"My friend is very keen on the new crowd; everything else he declares is ""passe."""
pastoral,idyllically rustic,He made a considerable reputation as an accomplished painter of quiet pastoral subjects and carefully elaborated landscapes with cattle.
pathological,caused by or evidencing a mentally disturbed condition,"""Fixated individuals"" — mentally ill people with a pathological focus on someone, often a stranger — make up the first group."
patrician,characteristic of the nobility or aristocracy,"Respectable ladies, long resident, wearing black poke bonnets and camel's-hair shawls, lifted their patrician eyebrows with disapproval."
patronize,treat condescendingly,Ms. Paul herself noted that “glib talk about appreciating dyslexia as a ‘gift’ is unhelpful at best and patronizing at worst.”
pedagogue,someone who educates young people,"His old pedagogue, Mr. Brownell, had been unable to teach him mathematics."
pedantic,marked by a narrow focus on or display of learning,"The reader is treated to pedantic little footnotes, and given a good deal of information which is either gratuitous or uninteresting."
pellucid,transparently clear; easily understandable,"Caribou Island is a scant 300 pages, and written in prose as pellucid as the rivers he used to fish as a boy."
penchant,a strong liking or preference,"But sometimes, old Wall Street habits — including a penchant for expensive luxuries — are hard to break."
pendulous,hanging loosely or bending downward,"And all around, far out of reach, the trees of the forest were swaying restlessly, their long, pendulous branches, like tentacles, lashing out hungrily."
peon,a laborer who is obliged to do menial work,"For the most part, the men were wiry peons, some toiling half naked, but there were a number who looked like prosperous citizens."
peremptory,not allowing contradiction or refusal,This time it was not a request but a peremptory order to go at once to Cuba and undertake the work.
perfidious,tending to betray,"The perfidious Italian at length confessed that it was his intention to murder his master, and then rob the house."
perish,pass from physical life,"Simon Wiesenthal's parents are long since deceased, with his father dying in World War I and his mother perishing in the Holocaust."
permeate,spread or diffuse through,"Florida’s summertime heat permeates almost every scene, becoming something like a character."
peroration,a flowery and highly rhetorical address,"He had little hope that Gallagher, once embarked on a peroration, would stop until he had used up all the words at his command."
perpetrate,"perform an act, usually with a negative connotation",Come on it’s just a cruel joke perpetrated by the airline industry.”
perpetual,continuing forever or indefinitely,"The river is a perpetual enjoyment, always something going on."
persist,continue to exist,"Old ideas, long after the conditions under which they were produced have passed away, often persist in surviving."
perspicuous,transparently clear; easily understandable,"The statements are plain and simple, a perfect model of perspicuous narrative."
pert,characterized by a lightly saucy or impudent quality,"Her pert, lively manner said she hadn't taken any wooden nickels lately."
pertinacious,stubbornly unyielding,"His temper, though yielding and easy in appearance, was in reality most obstinate and pertinacious."
pervade,spread or diffuse through,An air of intense anticipation pervaded the General’s dining room.
petulant,easily irritated or annoyed,"The black eyes emitted an angry flash, the voice that answered was sharp and petulant."
philology,the humanistic study of language and literature,"I had determined to study philology, chiefly Greek and Latin, but the fare spread out by the professors was much too tempting."
philosophical,relating to the investigation of existence and knowledge,"His arguments, like Einstein’s, were qualitative, verging on highly philosophical."
phlegmatic,showing little emotion,"Humanity, when surfeited with emotion, becomes calm, almost phlegmatic."
pilfer,make off with belongings of others,"Many young people scavenge for reusable garbage, living on proceeds from pilfered construction material and other recyclables."
pillage,steal goods; take as spoils,"In addition great material losses were inflicted: seven hundred houses were destroyed, six hundred stores pillaged, and thousands of families utterly ruined."
pinion,restrain or bind,"The prisoners having dismounted, were placed in a line on the ground facing the guillotine, their arms pinioned."
pious,having or showing or expressing reverence for a deity,"Mother, you see, is a very pious woman, and she attributes it all to Providence, saying that it was the Divine interference in her behalf."
pique,a sudden outburst of anger,A talented youngster who smashes his guitar in a fit of pique finds it magically reassembled just in time for a crucial concert.
pithy,concise and full of meaning,"As Moore isolated finer points of the passing game, Keller in neat penmanship jotted down pithy phrases and punchy quotes, basic ideas and specific concepts."
placate,cause to be more favorably inclined,The East India Company was placated by the concession of further exemptions in its favour.
platitude,a trite or obvious remark,"But details are fuzzy and rebel leaders often resort to platitudes when dismissing suggestions of discord, saying simply that ""Libya is one tribe."""
plead,enter a defendant's answer,"Aria pleaded not guilty, but he acknowledged that he had violated some laws."
plenitude,a full supply,"Of course at that season, amid the plenitude of seeds, nuts, and berries, they were as plump as partridges."
plumb,examine thoroughly and in great depth,"Tellingly, Ms. Liao said she had great difficulty finding three actors willing to plumb their own personalities."
plus,the arithmetic operation of summing,The survey’s margin of error was plus or minus four percentage points.
podium,a platform raised above the surrounding level,"Leyva beamed as he stood atop the podium, nodding as the American flag was raised and “The Star-Spangled Banner” played in his honor."
poignancy,"a quality that arouses emotions, especially pity or sorrow",They were curious about the “near loss” experience—specifically the feelings of poignancy that occur when what we cherish disappears.
polemic,"a verbal or written attack, especially of a belief or dogma",Would it be a polemic that denounced Western imperialism for using cinema to undermine emerging nations like Kazakhstan?
polemical,of or involving dispute or controversy,"His works include several dogmatic and polemical treatises, but the most important are the historical."
policy,a plan of action adopted by an individual or social group,"Inflation has lagged behind the central bank’s 2 percent target, giving policy makers extra scope to cut rates."
polity,a governmentally organized unit,"China needs a polity that can address its increasingly sophisticated society, and to achieve that there must be political reform, Mr. Sun said."
pomp,cheap or pretentious or vain display,"Throughout U.S. history, Americans have been fascinated by royal pomp -- even on a movie screen."
pontifical,denoting or governed by or relating to a bishop or bishops,"The high priest made no resistance, but went forth in his pontifical robes, followed by the people in white garments, to meet the mighty warrior."
postulate,maintain or assert,"In fact, when Einstein formulated his cosmological vision, based on his theory of gravitation, he postulated that the universe was finite."
practice,a customary way of operation or behavior,He directed and acted in plays every season and became known for exploring Elizabethan theatre practices.
practitioner,someone who carries out a learned profession,"In particular, modern medical practitioners are coming around to the idea that certain illnesses cannot be reduced to one isolatable, treatable cause."
prattle,speak about unimportant matters rapidly and incessantly,She prattled on about the gossip of the town until Penny and her father were thoroughly bored.
precept,a rule of personal conduct,"The law of nature has but one precept, ""Be strong."""
precision,the quality of being exact,"At this time, home ranges of small rodents can not be measured with great precision, therefore any such calculations are, at best, only approximations."
predecessor,one who goes before you in time,"Heller fills in the blanks about Taft, overshadowed by colorful predecessor Teddy Roosevelt."
preen,dress or groom with elaborate care,"He preened on fight nights in a tuxedo, a bow tie and no shirt, and he favored showy rings and bracelets."
premise,a statement that is held to be true,"Success, real success, comes to the jack of all trades, a major premise handed down from pioneer days."
preternatural,surpassing the ordinary or normal,"In fact, they regarded the Spaniards as superior beings endowed with preternatural gifts."
procedural,of or relating to processes,"In other words, the rejection was a bureaucratic/procedural decision."
proceeding,a sequence of steps by which legal judgments are invoked,"Chu attended the special court-martial proceeding on Monday in Hawaii, Hill said."
proceeds,the income or profit arising from a transaction,His own share in the proceeds was about a hundred thousand dollars.
proclivity,a natural inclination,"She received, under her father's supervision, a very careful education, and developed her proclivities for literary composition at an early age."
prognosticate,make a prediction about; tell in advance,How strange it is that our dreams often prognosticate coming events!
project,a planned undertaking,"The funds are aimed at helping build public projects including mass transit, electricity networks, water utility and ports, it said."
projection,a prediction made by extrapolating from past observations,"Volume is down 25 percent from five years ago, and projections show even further declines, said Postmaster General Patrick R. Donahoe."
proletarian,a member of the working class,"As yet, the true proletarian wage-earner, uprooted from his native village and broken away from the organization of Indian society, is but insignificant."
promiscuous,not selective of a single class or person,"A promiscuous assembly had gathered there—men of all creeds and opinions—and an ""open-air"" meeting was in progress."
propensity,an inclination to do something,"A longtime colleague, Gate Theatre director Michael Colgan, noted Kelly's old-school charms, punctuated by his propensity for bow ties and smart suits."
property,a basic or essential attribute shared by members of a class,"Owing to these magic properties, it was often planted near dwellings to keep away evil spirits."
propitiate,make peace with,"King Edward, having subdued the Welsh, “endeavoured to propitiate his newly acquired subjects by becoming a resident in the conquered country."
propitious,presenting favorable circumstances,"With the Athens stock market down nearly 30 percent so far this year, it would not seem a propitious time for initial public offerings."
propriety,correct behavior,"I felt a trifle doubtful about the propriety of taking a short cut across private grounds, and said as much."
prospective,of or concerned with or related to the future,"Most prospective homesteaders make the same mistake I did in buying horses, unless they are experienced."
provender,food for domestic livestock,"""Fools!"" she cried, looking in her magic crystal, ""he was in the big sycamore under which you stopped to give your horses provender!"""
provoke,provide the needed stimulus for,It provoked a bigger reaction than we could ever have anticipated.
prowess,a superior skill learned by study and practice,"While our engineering prowess has advanced a great deal over the past sixty years, the principles of innovation largely have not."
proxy,a person authorized to act for another,"Ideally, everybody over 18 should execute a living will and select a health care proxy — someone to represent you in medical matters."
prude,a person excessively concerned about propriety and decorum,Criticising high-profile programmes about teenage sex education often means risking being written off as a prude.
pucker,gather something into small wrinkles or folds,"Godmother,' she went on, puckering her forehead again in perplexity, 'it almost feels like feathers."
puissant,powerful,"The ship was not fighting now, but yielding—a complacent leviathan held captive by a most puissant and ruthless enemy."
pummel,"strike, usually with the fist","Another, with rubber bands wrapped tightly around his face, is pummelled by a plastic boxing kangaroo."
pundit,someone who has been admitted to membership in a field,"Pundits of agricultural science explore the sheds, I believe, the barns, stables, machine-rooms, and so forth, before inspecting the crops."
purport,have the often misleading appearance of being or intending,"Of course, none of these purported medical benefits have any grounding in science."
purse,a sum spoken of as the contents of a money container,"She watched over her husband, kept his accounts, held the family purse, managed all his affairs."
purvey,supply with provisions,And we will agree also to purvey food for these horses and people during nine months.
pusillanimous,"lacking in courage, strength, and resolution","He was described by his friends as pusillanimous to an incredible extent, timid from excess of riches, afraid of his own shadow."
quaff,swallow hurriedly or greedily or in one draught,"Meanwhile the officers under the tree had got served, and, cups in hand, were quaffing joyously."
quagmire,a soft wet area of low-lying land that sinks underfoot,"The heavy rain had reduced this low-lying ground to a veritable quagmire, making progress very difficult even for one as unburdened as he was."
quail,"draw back, as with fear or pain","He quailed before me, and forgetting his new part in old habits, muttered an apology."
querulous,habitually complaining,"He was, at times, as querulous as a complaining old man."
quip,make jokes or witty remarks,"""I could have joined the FBI in a shorter period of time and with less documentation than it took to get that mortgage,"" she quipped."
rail,complain bitterly,"Mr. Gray railed against lengthy stage directions, saying he crossed them out in scripts before he would begin rehearsals with his actors."
raiment,especially fine or decorative clothing,"Clothed in fine raiment and faring sumptuously every day, he soon developed into a handsome lad."
rakish,marked by a carefree unconventionality or disreputableness,"She wore her red cap in a rakish manner on the side of her head, its tassel falling down over her forehead between her eyes."
ramify,have or develop complicating consequences,Cometary science has ramified in unexpected ways during the last hundred years.
rampart,an embankment built around a space for defensive purposes,"The night was gloomy, dark, and wet; the soldiers, wearied with watching at the ramparts, dozed, leaning on their weapons."
rancor,a feeling of deep and bitter anger and ill-will,"The current session of Parliament has so far produced only rancor, as opposition parties have shut down proceedings with angry, theatrical protests against corruption."
range,a variety of different things or activities,"Like American community colleges, admission at an open university is not competitive, but the schools offer a range of programs, including doctoral degrees."
ranging,wandering freely,His detective work is fascinating and wide ranging.
rankle,make resentful or angry,"He was feeling more like himself now, though the memory of the bully’s sneering words rankled."
rapt,feeling great delight and interest,"She was watching the development of the investigation with rapt, eager attention."
rarefied,of high moral or intellectual value,The debate over climate science has involved very complex physical models and rarefied areas of scientific knowledge.
ratify,"approve and express assent, responsibility, or obligation",Company officials at Safeway said those replacement workers will remain on standby until the agreement is ratified by union members.
rationalism,the doctrine that reason is the basis for regulating conduct,Offering a religious rationale for policy goals threatens what for many has become the cherished principle of secular rationalism in public life.
rave,praise enthusiastically,I have heard lots of women simply rave about him.
ravel,disentangle or separate out,"Overcasting is done by taking loose stitches over the raw edge of the cloth, to keep it from ravelling or fraying."
reactionary,extremely conservative or resistant to change,"Old people are often accused of being too conservative, and even reactionary."
readjustment,the act of correcting again,"While earpieces are not uncomfortable, they do sometimes come loose, requiring readjustment."
rebuke,an act or expression of criticism and censure,"Afterward, the leaders fought court orders to release records showing what they had done, drawing an uncommonly sharp rebuke from a federal judge."
rebus,a puzzle consisting of pictures representing words,"They wrote at times with pictures standing for sounds, as we now write in rebus puzzles."
recondite,difficult to understand,The mystery of verse is like other abstruse and recondite mysteries—it strikes the ordinary fleshly man as absurd.
recourse,something or someone turned to for assistance or security,Bargain hunters and holiday shoppers are bad guys’ favorite targets and have little or no recourse when shoddy or fake merchandise arrives.
recovering,returning to health after illness or debility,“The recovering economy is bringing more people back into the market.
redolent,serving to bring to mind,"Here, however, are congregated a vast number of curious and interesting objects, while the place is redolent of vivid historical associations."
redoubtable,worthy of respect or honor,"Captain Miles Standish was a redoubtable soldier, small in person, but of great activity and courage."
refectory,"a communal dining-hall, usually in a monastery","Meanwhile, the soup was getting cold in the refectory, so that the assembled brotherhood at last fell to, without waiting any longer for the Abbot."
reflect,show an image of,Teens ranting over chores and whatnot can often reflect deeper feelings of alienation or perceived uncaring on the part of parents.
refractory,stubbornly resistant to authority or control,Beyond them the gardener struggled with a refractory horse that refused to draw his load of brush and dead leaves.
rejoinder,a quick reply to a question or remark,"""Not at all!"" was Aunt Susannah's brisk rejoinder."
remission,an abatement in intensity or degree,"After a few hours there is a remission of the pain, slight perspiration takes place, and the patient may fall asleep."
rend,tear or be torn violently,"In the distance heavy artillery was growling, and high explosive shells were bursting with a violence that seemed to rend the sky."
render,give an interpretation of,"But authorities had rendered the weapon and the explosive device inoperable, officials said."
renegade,someone who rebels and becomes an outlaw,If he went off to another people he lost all standing among the Sioux and was thereafter treated as an outlaw and a renegade.
repast,the food served and eaten at one time,"Fragrant coffee, light rolls, fresh butter, ham and eggs, fried crocuses and soft crabs, formed the repast."
repeal,cancel officially,"If Republicans repeal the law, Ms. Schakowsky said, they would be “taking away benefits that seniors are already getting.”"
repine,express discontent,"Those poor fellows above, accustomed to the wild freshness and freedom of the sea, how they must mourn and repine!"
reprise,a repetition of a short musical passage,The live set reprises material from this remarkable group's earlier Aurora CD.
